id;satis_tarihi;miktar;toplam_fiyat;odeme_durumu;teslimat_adresi;siparis_notu
1;2024-10-30T14:44:04;8499;8946.13;so baa;restaurant;ah though incidentally
2;2024-10-30T17:11:42;12890;7946;woot square;surface;yahoo
3;2024-10-30T14:22:39;18864;26624.17;pronoun;meanwhile yet;about
4;2024-10-31T06:21:09;18326;3306.15;measly huzzah;absent;vengeful but fishery
5;2024-10-31T01:54:20;4500;14788.17;traduce;beautifully microchip;and legal of
6;2024-10-30T22:22:01;8759;14343.43;restfully rebuild absent;oh wallop;bandwidth
7;2024-10-31T04:06:55;16103;22693.99;gah;why gah;into though tiny
8;2024-10-30T12:56:41;5965;3896.61;handsome even;supposing;versus
9;2024-10-30T15:55:22;28232;10859.53;indeed;hm;dampen
10;2024-10-30T13:17:32;10958;19502.68;blowgun squirm whoever;yahoo unethically even;broadcast definitive
