id;isim;fiyat;lisans_anahtari;yenileme_ucreti;yenileme_tarihi;aciklama;aktif_mi
1;yuck;31724.77;fervently descendant;25949.51;2024-10-30T10:33:09;before stitcher phooey;true
2;newsletter the opposite;12586.98;um suffice serenade;16263.56;2024-10-31T06:45:41;to;true
3;near separately;9155.48;while;30297.12;2024-10-30T22:03:31;via second or;true
4;secret among stale;31759.55;gut atop;8679.22;2024-10-30T17:26:41;woot abnormally;false
5;meander next;4648.28;highly rule;26456.13;2024-10-30T18:50:19;thoughtfully upon immense;false
6;intrigue questioningly unless;16319.34;save;32246.54;2024-10-31T03:41:27;of naturally;true
7;toward;28374.06;ack off;28291.64;2024-10-31T09:12:15;why mid hyphenation;true
8;swelter;26439.7;uh-huh emerge;25816.18;2024-10-30T23:13:11;spice ha;true
9;cod heighten how;3275.55;times better;25880.24;2024-10-31T03:05:36;what;false
10;generously trust galoshes;13753.9;toward;9062.8;2024-10-31T06:55:27;on including;false
